Genus,Species,Capellini_BMR..mlO2.hour.,Capellini_Body.mass.for.BMR..gr.,Capellini_Reference.for.BMR,Capellini_FMR..kJ.day.,Capellini_Body.mass.for.FMR..gr.,Smith_Log.mass,Smith_Combined.mass,Ernest_mass.g.,Ernest_gestation.mo.,Ernest_newborn.g.,Ernest_weaning.mo.,Ernest_wean.mass.g.,Ernest_AFR.mo.,Ernest_max..life.mo.,Ernest_litter.size,Ernest_litters.year,Common.name,AnAge_Female.maturity..days.,AnAge_Male.maturity..days.,AnAge_Gestation.Incubation..days.,AnAge_Weaning..days.,AnAge_Litter.Clutch.size,AnAge_Litters.Clutches.per.year,AnAge_Inter.litter.Interbirth.interval,AnAge_Birth.weight..g.,AnAge_Weaning.weight..g.,AnAge_Adult.weight..g.,AnAge_Growth.rate..1.days.,AnAge_Maximum.longevity..yrs.,AnAge_Source,AnAge_Specimen.origin,AnAge_Sample.size,AnAge_Data.quality,AnAge_IMR..per.yr.,AnAge_MRDT..yrs.,AnAge_Metabolic.rate..W.,AnAge_Body.mass..g.,AnAge_Temperature..K.,AnAge_References,MamDiet_Animal,MamDiet_Vertebrate,MamDiet_Mammal,MamDiet_Bird,MamDiet_Herptile,MamDiet_Fish,MamDiet_Invertebrate,MamDiet_Plant,MamDiet_Seed,MamDiet_Fruit,MamDiet_Nectar,MamDiet_Root,MamDiet_Leaf,MamDiet_Woody,MamDiet_Herbaceous,MamDiet_Other,MamDiet_TaxonomicNote,MamDiet_FillCode,MamDiet_TrophicLevel,MamDiet_MammalEater,MamDiet_Insectivore,MamDiet_Frugivore,MamDiet_Granivore,MamDiet_Folivore,Sieg_Tb,Sieg_Mass.Mean,Sieg_Mass.SD,Sieg_BMR.Mean,Sieg_BMR.SD,Pacifici_AdultBodyMass_g,Pacifici_Max_longevity_d,Pacifici_Rspan_d,Pacifici_AFR_d,Pacifici_Data_AFR,Pacifici_Calculated_GL_d,Pacifici_GenerationLength_d,Pineda_Seeds,Pineda_Invertebrate,Pineda_Fungi,Pineda_Vertebrate,Pineda_Flowers.Gum,Pineda_Roots.Tubers,Pineda_Green.Plants,Pineda_Fruit,Pineda_Main_food,Pineda_Body_mass_g
Tamias,senex,NA,NA,NA,NA,NA,1.95,89.3,94.81,0.93,NA,NA,NA,NA,NA,4.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,2,1,1,1,0,0,0,0,0,0,,1,Omnivore,0,0,1,1,0,NA,NA,NA,NA,NA,89.35,NA,NA,NA,no information,NA,1101.109973,50,0,0,0,0,0,0,50,Generalist,89.35
Tamias,speciosus,NA,NA,NA,NA,NA,1.79,62,60,NA,NA,NA,NA,12,NA,4.15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,,0,Omnivore,0,1,1,1,0,NA,70.7,2.4,104.6,12.7,60.83,NA,NA,NA,no information,NA,1101.109973,50,0,0,0,0,0,0,50,Generalist,62
Tamias,townsendii,NA,NA,NA,NA,NA,1.87,74.8,84,0.93,3.55,1.64,34.5,11.62,123,4.33,1,Townsend's chipmunk,353,NA,28,50,4.5,1,NA,3.5,35,75,0.0333,9.3,671,captivity,small,acceptable,NA,NA,NA,NA,NA,"434,455,610,671,680,000",1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,,0,Omnivore,0,1,1,1,0,NA,NA,NA,NA,NA,79.12,2974.75,2593.75,381,calculated,1133.1875,1133.1875,50,0,0,0,0,0,0,50,Generalist,74.78
Tamias,umbrinus,NA,NA,NA,NA,NA,1.8,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,2,1,1,1,0,0,0,0,0,0,,1,Omnivore,0,0,1,1,0,NA,NA,NA,NA,NA,51.75,NA,NA,NA,no information,NA,1101.109973,50,0,0,0,0,0,0,50,Generalist,63
Tamias,quadrimaculatus,NA,NA,NA,NA,NA,1.93,85.2,88.45,1.03,NA,NA,NA,11.14,NA,5.1,1,Long-eared chipmunk,339,NA,31,NA,5,1,NA,NA,NA,86.5,NA,NA,,unknown,small,low,NA,NA,NA,NA,NA,"455,520,610,680",3,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,,0,Herbivore,0,0,1,1,0,NA,NA,NA,NA,NA,83.62,NA,NA,NA,no information,NA,1101.109973,50,0,0,0,0,0,0,50,Generalist,85.25
Tamias,siskiyou,NA,NA,NA,NA,NA,1.88,75,75,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,,0,Omnivore,0,1,1,1,0,NA,NA,NA,NA,NA,75,NA,NA,NA,no information,NA,1101.109973,50,0,0,0,0,0,0,50,Generalist,75
Tamias,sonomae,NA,NA,NA,NA,NA,1.88,75,75,NA,NA,0.75,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,0,Herbivore,0,0,1,1,0,NA,NA,NA,NA,NA,75,NA,NA,NA,no information,NA,1101.109973,50,0,0,0,0,0,0,50,Generalist,75
Tamias,canipes,NA,NA,NA,NA,NA,1.85,70.4,70,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,,0,Omnivore,0,1,1,1,1,NA,NA,NA,NA,NA,70.2,NA,NA,NA,no information,NA,1101.109973,50,0,0,0,0,0,0,50,Generalist,70.4
Tamias,rufus,NA,NA,NA,NA,NA,1.73,53.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,,0,Omnivore,0,0,0,1,0,NA,NA,NA,NA,NA,53.6,NA,NA,NA,no information,NA,1101.109973,50,0,0,0,0,0,0,50,Generalist,53.6
Tamiasciurus,douglasii,NA,NA,NA,NA,NA,2.35,225,229.8,1.29,5,NA,NA,4,NA,9.78,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,1,,0,Herbivore,0,0,0,1,1,NA,NA,NA,NA,NA,225,NA,NA,NA,no information,NA,1453.76635,20,0,0,30,10,0,20,20,Generalist,225
